alg,trialType,trial_index,episodes,duration
SARSA,0,0,279,418.3574858
SARSA,0,1,365,609.1780167
SARSA,0,2,811,1217.82622
SARSA,0,3,217,349.5809832
SARSA,0,4,312,473.3084569
SARSA,0,5,340,525.8514721
SARSA,0,6,134,204.3264077
SARSA,0,7,594,947.5266809
SARSA,0,8,879,1337.216364
SARSA,0,9,306,470.777885
SARSA,0,10,95,148.2287829
SARSA,0,11,810,1241.260231
SARSA,0,12,298,462.2478976
SARSA,0,13,201,298.7240596
SARSA,0,14,337,542.0610623
SARSA,0,15,819,1283.974488
SARSA,0,16,1196,1862.351186
SARSA,0,17,434,674.5672886
SARSA,0,18,710,1092.440575
SARSA,0,19,506,767.1930885
SARSA,0,20,195,314.7243648
SARSA,0,21,675,1025.860633
SARSA,0,22,313,462.9337933
SARSA,0,23,402,621.2169337
SARSA,0,24,191,308.2599411
SARSA,0,25,285,443.1536646
SARSA,0,26,517,792.2338865
SARSA,0,27,430,658.0053849
SARSA,0,28,213,352.2853713
SARSA,0,29,400,639.6791658
SARSA,0,30,694,1090.967432
SARSA,0,31,160,247.6387742
SARSA,0,32,869,1355.861994
SARSA,0,33,414,629.6999195
SARSA,0,34,897,1375.606988
SARSA,0,35,1226,1832.030497
SARSA,0,36,1142,1800.34355
SARSA,0,37,436,669.2684524
SARSA,0,38,292,440.9074209
SARSA,0,39,106,168.5102372
SARSA,1,0,60,110.4319887
SARSA,1,1,33,58.58433032
SARSA,1,2,36,65.59174538
SARSA,1,3,39,82.13449121
SARSA,1,4,16,27.55484915
SARSA,1,5,25,50.82961416
SARSA,1,6,20,39.57146525
SARSA,1,7,37,70.88199282
SARSA,1,8,32,61.83792782
SARSA,1,9,25,45.81699276
SARSA,1,10,15,28.54761243
SARSA,1,11,20,35.80814123
SARSA,1,12,31,68.36171031
SARSA,1,13,12,23.5341351
SARSA,1,14,11,19.01980281
SARSA,1,15,31,63.34632325
SARSA,1,16,24,48.32931757
SARSA,1,17,37,71.61043382
SARSA,1,18,15,29.04601336
SARSA,1,19,17,37.30523181
SARSA,1,20,29,55.5864327
SARSA,1,21,23,40.56588531
SARSA,1,22,25,48.31861544
SARSA,1,23,18,36.048352
SARSA,1,24,37,82.61234331
SARSA,1,25,10,18.53138995
SARSA,1,26,19,46.31744647
SARSA,1,27,19,37.30611753
SARSA,1,28,53,97.4130857
SARSA,1,29,30,52.33023882
SARSA,1,30,8,16.0324192
SARSA,1,31,6,9.013611317
SARSA,1,32,14,29.04801226
SARSA,1,33,9,15.27868295
SARSA,1,34,17,34.55768919
SARSA,1,35,29,60.83980131
SARSA,1,36,8,18.52132678
SARSA,1,37,29,54.32721949
SARSA,1,38,37,74.60286641
SARSA,1,39,21,39.81883025